Roll	Pitch	Yaw	Alt	RollSetpoint	PitchSetpoint	YawSetpoint	AltSetpoint
-0.08	-0.12	52.35	-57.3	0	0.86	180.36	1066	
-0.04	-0.02	52.35	-57.3	0	0.87	180.36	1066	
0	-0.01	52.33	-57.3	0	0.88	180.36	1066	
0.03	-0.06	52.35	-57.3	0	0.89	180.36	1066	
0.02	-0.21	52.34	-57.3	0	0.9	180.36	1066	
-0.03	-0.41	52.34	-57.3	0	0.91	180.36	1066	
-0.06	-0.62	52.36	-57.3	0	0.92	180.36	1066	
-0.11	-0.86	52.34	-57.3	0	0.93	180.36	1066	
-0.08	-1.03	52.32	-57.3	0	0.94	180.36	1066	
-0.09	-1.15	52.32	-57.3	0	0.95	180.36	1066	
-0.06	-1.19	52.3	-57.3	0	0.96	180.36	1066	
-0.03	-1.17	52.29	-57.3	0	0.97	180.36	1066	
-0.06	-1.05	52.29	-57.3	0	0.98	180.36	1066	
-0.05	-0.92	52.28	-57.3	0	0.99	180.36	1066	
-0.08	-0.65	52.28	-57.3	0	1	180.36	1066	
-0.08	-0.42	52.29	-57.3	0	1.01	180.36	1066	
-0.05	-0.13	52.29	-57.3	0	1.02	180.36	1066	
-0.02	0.04	52.31	-57.3	0	1.03	180.36	1066	
-0.04	0.21	52.31	-57.3	0	1.04	180.36	1066	
-0.07	0.27	52.3	-57.3	0	1.05	180.36	1066	
-0.08	0.19	52.3	-57.3	0	1.06	180.36	1066	
-0.1	-0.01	52.31	-57.3	0	1.07	180.36	1066	
-0.14	-0.24	52.3	-57.3	0	1.08	180.36	1066	
-0.15	-0.51	52.32	-57.3	0	1.09	180.36	1066	
-0.16	-0.79	52.34	-57.3	0	1.1	180.36	1066	
-0.16	-0.97	52.33	-57.3	0	1.11	180.36	1066	
-0.11	-1.11	52.34	-57.3	0	1.12	180.36	1066	
-0.1	-1.15	52.33	-57.3	0	1.13	180.36	1066	
-0.11	-1.16	52.32	-57.3	0	1.14	180.36	1066	
-0.15	-1.03	52.34	-57.3	0	1.15	180.36	1066	
-0.21	-0.87	52.33	-57.3	0	1.16	180.36	1066	
-0.25	-0.6	52.35	-57.3	0	1.17	180.36	1066	
-0.3	-0.38	52.35	-57.3	0	1.18	180.36	1066	
-0.27	-0.14	52.37	-57.3	0	1.19	180.36	1066	
-0.23	-0.02	52.39	-57.3	0	1.2	180.36	1066	
-0.22	0.07	52.42	-57.3	0	1.21	180.36	1066	
-0.19	0.06	52.43	-57.3	0	1.22	180.36	1066	
-0.17	-0.04	52.44	-57.3	0	1.23	180.36	1066	
-0.15	-0.23	52.44	-57.3	0	1.24	180.36	1066	
-0.2	-0.41	52.46	-57.3	0	1.25	180.36	1066	
-0.23	-0.59	52.46	-57.3	0	1.26	180.36	1066	
-0.27	-0.77	52.45	-57.3	0	1.27	180.36	1066	
-0.25	-0.89	52.47	-57.3	0	1.28	180.36	1066	
-0.27	-0.94	52.46	-57.3	0	1.29	180.36	1066	
-0.26	-0.93	52.46	-57.3	0	1.3	180.36	1066	
-0.26	-0.86	52.47	-57.3	0	1.31	180.36	1066	
-0.24	-0.74	52.47	-57.3	0	1.32	180.36	1066	
-0.24	-0.53	52.47	-57.3	0	1.33	180.36	1066	
-0.2	-0.27	52.47	-57.3	0	1.34	180.36	1066	
-0.16	0.01	52.49	-57.3	0	1.35	180.36	1066	
-0.11	0.34	52.49	-57.3	0	1.36	180.36	1066	
-0.04	0.59	52.51	-57.3	0	1.37	180.36	1066	
-0.02	0.79	52.52	-57.3	0	1.38	180.36	1066	
-0.03	0.89	52.53	-57.3	0	1.39	180.36	1066	
-0.09	0.86	52.53	-57.3	0	1.4	180.36	1066	
-0.2	0.71	52.54	-57.3	0	1.41	180.36	1066	
